Name,Email,Mobile
"
            St. Vincent High School            470002
",svhsvh@yahoo.co.in,7842066342
"
            St. Philomena High School            470005
",,
"
            Simhapuri Public School,            010016
",simhapuripublicschool@yahoo.co.in,
"
            Al-Ameen Jr. Degree College            M47019
",shahnaz_mam@yahoo.co.in,
"
            P R R Jr. College            470023
",prrcollege@yahoo.co.in,
"
            Nalanda Eng.medium High School            010040
",nalandakvl@yahoo.co.in,
"
            Sri Satya Sai Balavikas High School            010049
",sri_satyasai-balvikas@rediffmail.com,
"
            Sri Vijetha Jr. College            470054
",,
"
            Govt. Girls School            470057
",saiduluduppati@gmail.com,"9848685183, 9848685183"
"
            S S Jr.college & Sidhartha H.school            010067
",sidhartha_nios@rediffmail.com,
"
            I.s.o. Jr. College            470072
",isojuniorcollege@gmail.com,9948886508
"
            Srm Jr. Degree College            470085
",msreddy_sms@yahoo.co.in,
"
            Sri Gudibandi Somireddy Jr.collega            010091
",sgsrjc.svdc@yahoo.co.in,
"
            Santosh Edu.society Degree College            470101
",,
"
            Nana Patel Junior College            470103
",inspireadb@gmail.com,9440741355
"
            Aravinda Junior College            470110
",girija_aravinda@yahoo.co.in,
"
            Triveni Junior College            010120
",info@stgtrivenidegreecollege.com,
"
            N. V. R. Junior College            010121
",,
"
            St. Peter's Jr. College            M01122
",stpeter@gmail.com,
"
            Konatala Arts & Science Jr.college            010124
",kasjrcollege@gmail.com,
"
            Siddartha English Medium High            010127
",_mj@yahoo.com,
"
            Mahatma Gandhi Junior College,            010136
",,
"
            Dr.b Jaya Supha Reddy Junior            010139
",naindu.sweta@yahoo.com,9346694035
"
            Sri Sai Siddhartha Junior College            010141
",chaandra_sekhar@yahoo.com,
"
            Sri Harsha's Public School            010143
",,
"
            Sri Harsha's Junior  & Degree            010144
",,
"
            Jawahar Navodaya Vidyalaya            470145
",jnnkhammam@yahoo.co.in,8742273025
"
            Rupnagar Vidyapeeth High School            020002
",ratulchsarmah@yahoo.com,
"
            Kamrup Academy Hr. Sec. School            020004
",84@yahoo.com,
"
            Kendriya Vidyalaya            020007
",princilok@yahoo.co.in,3842245417
"
            Carmel Trng. Cen.of Donbosco School            020008
",jirsong@softhome.net,
"
            Gohpur Higher Sec. School            020009
",nios020009ghp@gmail.com,9101958116
"
            Maria Public Educational Trust            020014
",malab12301@gmail.com,"9864082463, 9864082463"
"
            Sree Narasinghasthan High School            020015
",parashuramprasad@yahoo.co.in,
"
            Don Bosco School, Sundempuri,            M02016
",dbkjr@rediffmail.com,
"
            Diphu Commercial College,            020017
",open_sschool_diphu@yahoo.co.in,
"
            Little Flower School            020019
",listom@rediffmail.com,
"
            Don Bosco High School,            020022
",ddmjrcollege@yahoo.com,9854254480
"
            Mont Fort School            M02023
",montfort96@gmail.com,9864118630
"
            Kendriya Vidyalaya            020024
",haflongkv@yahoo.co.in,
"
            Kendriya Vidyalaya Afs,            020025
",schkvkgrm@sancharnet.com,
"
            Kendriya Vidyalaya            020026
",kvchabua@rediffmail.com,
"
            Kendriya Vidyalaya            020027
",kvpanchgram@yahoo.co.in,
"
            Kendriya Vidyalaya            020028
",,
"
            Kendriya Vidyalaya            020029
",info@k.v.missamari.org,
"
            Kendriya Vidyalaya            020030
",principalkvgkm@rediffmail.com,
"
            Kendriya Vidyalaya            020031
",kviting@gmail.com,
"
            Kendriya Vidyalaya            020032
",scw_prkvm@sancharnet.in,
"
            Kendriya Vidyalya            020033
",kmmisacantt@yahoo.co.in,
"
            Kendriya Vidyalaya            020034
",shivnarayan.sharma4@gmail.com,9561891434
"
            Kendriya Vidyalaya            020035
",kvafstezpur@sifi.com,
"
            Kendriya Vidyalaya            020036
",kvmalogaon@rediffmail.com,
"
            Kendriya Vidyalaya            020037
",principalkvduliajan@yahoo.com,
"
            Kendriya Vidyalaya            020038
",principalkvgkm@rediffmail.com,
"
            Kendriya Vidyalaya            020039
",kviit@gmail.co,9101584355
"
            Jatiya Vidyalaya,            M02041
",,985401184
"
            Montfort High School, Chabua            M02042
",montfortchabua@gmail.com,"8486776270, 8486408085"
"
            Kendriya Vidyalaya ONGC,            020043
",,
"
            Kendriya Vidyalaya            020044
",,
"
            Kendriya Vidyalaya            020045
",,
"
            Kendriya Vidyalaya,            020046
",,
"
            Kendriya Vidyalaya, Crpf,            020047
",,
"
            Sacred Heart School            M02048
",,8474875121
"
            Jawahar Navodaya Vidyalaya            020049
",jnvdarrang@rediffmail.com,
"
            Jawahar Navodaya Vidyalaya            020050
",jnvdiphu@rediffmail.com,3671273566
"
            Jawahar Navodaya Vidyalaya            020051
",jnvhilakandi@rediffmail.com,
"
            Jawahar Navodaya Vidyalaya            020052
",jnvchirang@rediffmail.com,
"
            Jawahar Navodaya Vidyalaya            020053
",jnvnalbari@rediffmail.com,3624296844
"
            Jawahar Navodaya Vidyalaya            030007
",jnvsheikhpura@rediffnail.com,
"
            Jawahar Navodaya Vidyalaya            030008
",jvvrindavan@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030010
",ajit_invabanka@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030011
",niosbegusarai@rediffamil.com,
"
            Jawahar Navodaya Vidyalaya            030012
",jvndarbhanga@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030013
",jnvpurnea1@yahoo.co.in,
"
            Christ Church High School            030024
",christchs@yahoo.co.in,
"
            Kendriya Vidyalaya No.-2            030028
",kendriyavid@yahoo.co.in,
"
            Indian Public School            030038
",ipshajipur@yahoo.co.in,
"
            Adwaita Mission High School            030042
",amhsmandar@yahoo.co.in,
"
            Saraswati Vidya Mandir            030043
",svm_munger@yahoo.com,8271476765
"
            Saraswati Shishu Mandir            030044
",ssmabad1@rediffmail.com,
"
            Islamia Urdu High School            M03047
",islamiauhs@yahoo.co.in,
"
            Residential Sunbean Public School            030048
",rsbep1@yahoo.co.in,
"
            K.K.P.K. High School            030050
",kkpkhs@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030053
",jnvmohania@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030057
",jnvnawanagar@yahoo.co.in,
"
            Kendriya Vidyalaya            030058
",kv_dr@rediffmail.com,
"
            Holy Cross School            M03060
",holycrossdonar@yahoo.co.in,
"
            +2 M.l.academy            030070
",dude_ran@rediffmail.com,
"
            Zila School            030074
",zilaspurnia@yahoo.co.in,
"
            M.g.smarak Ucch Vidyalaya            030075
",mgsuvararia@yahoo.co.in,
"
            Jayanand Ucch Vidyalaya            030091
",juvbahera@yahoo.co.in,
"
            Satyendra Narayan Mahila Maha-            030093
",snsmahila11@yahoo.co.in,9334018900
"
            Devnandan High School            M03111
",hstehsil@yahoo.co.in,
"
            Patna Muslim High School Inter Col.            M03113
",pmsit_india@satyam.net.in,
"
            Red Carpet High School            M03114
",rchsp@yahoo.co.in,9304329483
"
            Kiddy Convent High School            030116
",kiddyconvenths@yahoo.co.in,
"
            Rajkiyakrit Tejnarayan Ucch Vidya.            030130
",rtejnuv@yahoo.co.in,
"
            Rajkiyakrit Amna Urdu High School            030136
",ramnauv@yahoo.co.in,
"
            Rajkiyakrit Rajput Ucch Vidyalaya            030150
",rruvsic@yahoo.co.in,
"
            Rajkiyakr.chatrdhari Ucch Vidyalaya            030152
",rcuvid@yahoo.co.in,
"
            Rajkiyakrit Ucch Vidyalaya            030164
",ruchainpur@yahoo.co.in,
"
            Kendriya Vidyalaya            030178
",kvsamastipur@yahoo.co.in,
"
            Vipin Ucch Vidyalaya            030179
",vipinuv@yahoo.co.in,
"
            G B Ucch Vidyalaya            030188
",gduvshahapur@yahoo.co.in,
"
            Kajariwal Ucch Vidyalaya            030192
",kuvjhanjharpur@yahoo.co.in,
"
            Sri Durga Ucch Vidyalaya            030196
",sdurgauv@yahoo.co.in,
"
            Rajkiyakrit Ucchvidyalaya            030197
",ruvkhutha@yahoo.co.in,
"
            Rajkiyakriti Ucch Vidyalaya            030229
",ruvjinhora@yahoo.co.in,
"
            Millat Academy Station Road            M03233
",millatalaca@yahoo.co.in,6274222122
"
            Govt. Girls Higher Secondary School            030244
",,
"
            Buxar High School,            030245
",,
"
            V.m.high School            030248
",,
"
            Govt. Higher Secondary School            030250
",,9430529799
"
            Raj High School,            030251
",,9576769169
"
            K.r.k.high School            030254
",avnkraha@gmail.com,9097607744
"
            +2 Zila School,            030257
",,
"
            R.m.k. Inter School,            030258
",,9431874192
"
            J.n.k.t.inter School            030260
",navnit.yd16@gmail.com,8709519705
"
            R.d.h.+2 School            030262
",,9835083753
"
            +2 Zila School            030263
",,
"
            Ucch Madhyamik Vidyalaya,            030264
",,
"
            Shersahsuri Ucch Madhyamik            030265
",,9431485551
"
            Kamala Nehru Shishu Vihar            030267
",,
"
            M.P. +2 High School            030306
",,
"
            Marwari +2 Ucchater Vidyalaya            030313
",,
"
            Sitamarhi Inter +2 College,            030314
",,
"
            Amnor Rajkiya Inter +2 College,            030318
",,
"
            D.a.v Rajkiya +2 School,            030323
",,
"
            Mandwari +2 High School,            030325
",,
"
            Madwari Inter +2 College,            030338
",,9835816873
"
            St.paul Secondary School,            030356
",spssbirsinghpur@gmail.com,
"
            Madarsa Ahmdia Hanfia            M03358
",,9934417672
"
            Sadar Alam Memorial Sr.sec.school            M03362
",sadaralamschool@gmail.com,8210161032
"
            Hari Katan Jhauri High School            M03363
",,
"
            Dr. Shaligram Mishra College            030366
",,
"
            Jawahar Navodaya Vidyalaya            030367
",,
"
            Jawahar Navodaya Vidyalaya            030368
",,
"
            Quasmi High School            M03369
",,
"
            Jawahar Navodaya Vidyalaya            030370
",jnvechamparan@yahoo.co.in,
"
            Jawahar Navodaya Vidyalaya            030371
",jnvmuzaffarpur@rediffmail.com,6212250350
"
            Jawahar Navodaya Vidyalaya            030372
",jnvjbad@rediffmail.com,6114290068
"
            Jawahar Navodaya Vidyalaya            030373
",jnv_aurangabad@rediffmail.com,6186290101
"
            JAWAHAR NAVODAYA VIDYALAYA            030374
",,
"
            Jawahar Navodaya Vidyalaya            030375
",,
"
            Madarsa Faizul Uloom            M03376
",,9835820082
